 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"351390 Divinolândia";358595,12;370747,77;377858,24;373624,10;392812,93;402726,53;391601,78;387996,76;383902,37;373382,37;385584,30;409262,42;405478,81;398086,55;427762,11;425297,36;426057,16;431689,07;424672,07;425102,46;424913,42;428307,49;440034,67;423659,07;403013,14;382026,43;416570,71;385381,93;420189,79;405723,77;409045,39;434877,00;436251,66;414370,53;415564,59;433297,28;441955,92;408902,91;435592,13;451808,39;480837,97;469975,32;458018,65;425995,97;478122,85;447762,83;449870,01;437914,01;478165,40;440277,16;462907,80;477189,35;421879,89;452005,82;475961,89;466438,48;466062,25;535439,55;471672,25;440626,57;471198,63;432864,52;477263,76;486367,60;468635,64;446200,65;503779,50;485318,24;475222,45;552506,72;445477,84;450750,53;492283,55;476118,31;473685,79;489655,27;487604,36;498917,54;511008,90;497405,47;488964,15;490958,23;518084,10;393095,78;492919,21;437143,04;554642,21;501126,39;522918,50;514071,58;526736,25;551193,22;505458,78;517896,62;439370,18;481748,17;456070,35;435011,70;521337,66;472030,11;478385,67;489507,52;484624,94;505268,86;485345,86;495408,94;458798,54;451630,31;484722,98;415010,45;500206,33;492302,02;469044,14;438331,41;447972,21;448882,60;429019,66;428398,14;420858,45;410592,16;433999,82;394780,33;450927,28;432378,82;448814,97;463764,73;442557,68;464404,64;447419,18;454374,73;436760,38;407103,09;430145,86;410886,56;452937,59;433264,37;449314,36;444051,15;453607,59;437636,01;447997,87;466159,85;432213,21;417082,05;458982,70;420865,30;436967,72;324557,45;385219,27;420321,48;425229,66;447140,19;473390,19;446199,22;490043,05;427475,63;474208,46;415236,05;464967,64;71361589,34
"351410 Dois Córregos";32822,30;57198,63;54999,78;71986,31;73498,39;84198,89;68245,48;55754,04;59034,80;62906,40;45390,89;56461,34;53165,87;65242,50;58454,96;33524,88;78403,73;84595,06;61019,64;67027,50;82481,95;60624,83;64437,24;59177,05;55776,79;44503,61;69498,90;68242,60;80382,62;66539,11;66703,52;57535,75;66646,81;56334,36;62104,58;66972,12;39803,13;61288,12;74362,69;72818,86;77026,04;58046,60;75078,27;59857,84;64461,86;65453,09;51863,75;71983,35;67961,19;52949,17;82457,85;66106,63;81714,58;63849,77;88265,57;70262,69;72823,41;56476,34;68342,19;66892,29;42237,92;46428,87;68918,36;57147,87;60850,31;82764,28;68389,77;61973,30;64767,70;65869,85;64518,87;57519,26;54148,15;53806,00;48268,35;87191,78;66021,54;81618,79;60054,48;73160,38;74117,57;61282,38;57047,59;51302,75;53576,85;49270,21;59938,17;67007,94;77319,70;73433,53;78078,90;63975,23;52717,11;65618,59;59634,60;61200,90;41435,96;45023,65;53297,24;55868,00;63248,12;65964,59;84410,64;51637,24;55190,19;46186,52;57654,04;43092,01;38942,04;56961,31;48090,80;42514,06;48958,71;67162,21;46560,04;55692,54;46906,76;50587,75;43447,47;50755,17;39674,88;34916,80;45510,90;45558,85;44385,62;78669,28;46849,19;43166,05;46719,01;45494,05;41193,66;66848,08;39597,95;39542,22;58815,82;47899,04;51941,02;50895,04;57282,06;37347,70;46687,99;47856,31;51389,01;49333,62;49599,43;42792,15;57327,07;49519,98;43607,10;32688,70;25400,99;51238,05;49868,80;60632,38;54632,01;46493,23;62419,69;79179,16;81264,31;9337040,62
"351430 Dourado";5666,47;7403,55;7532,28;10150,51;14303,93;12556,12;15809,47;14948,11;12869,82;15062,83;6196,55;9607,98;10790,76;8403,02;9116,59;10631,55;7238,67;10387,06;11264,36;5085,06;10635,83;9663,36;3888,59;9368,30;6119,18;5016,66;8074,07;12608,42;7839,45;3430,03;10267,56;15395,42;9385,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;316717,50
"351440 Dracena";196477,64;179786,07;226556,06;242329,95;215678,63;217188,58;273728,24;226442,87;231604,03;250979,32;236098,06;250136,89;234020,46;204598,75;246131,56;274440,42;215580,59;283446,85;266772,90;310188,95;257435,93;330570,64;243273,59;268614,92;266864,40;249262,50;308438,73;266948,20;311362,99;253721,37;291357,54;285388,17;272880,75;255955,39;269866,14;310932,96;260573,24;243411,71;288302,17;332316,90;257192,66;327194,86;276298,26;324846,40;262885,15;273348,95;231336,38;239669,22;258749,45;218236,33;305188,80;252950,47;252413,89;246038,30;340627,52;307882,74;272788,61;295720,32;222050,20;275756,79;256781,49;213566,65;273006,38;256995,72;314126,56;246408,35;297391,48;365407,03;317368,19;233818,51;225069,08;252242,63;229273,65;226949,75;304022,88;268024,52;246537,07;269612,23;253279,91;308035,66;341490,92;270778,57;243963,79;243649,23;264162,56;282076,19;249145,75;310837,82;276925,07;271161,11;285461,66;325153,65;273979,31;290081,41;274292,49;279451,56;263893,30;290814,56;311721,05;290906,80;316287,04;329779,71;271306,07;280124,94;329178,47;329786,23;308109,88;256483,32;296901,38;275545,75;267162,79;265506,24;359123,17;336987,02;295101,96;314523,75;315601,03;323877,01;298765,39;325050,58;315077,59;268190,64;332119,43;306405,77;314896,54;311773,40;320114,81;305352,92;281652,35;294833,11;278327,43;306501,32;376414,45;288609,27;296799,30;352998,67;365190,92;284816,63;341944,87;305153,81;275342,69;318992,05;296807,07;323849,07;227639,51;265042,35;324528,76;218847,49;196653,31;224767,66;358368,51;335080,32;364272,55;254016,30;244019,22;228255,02;574016,63;495808,45;1164873,86;45822260,68
"351450 Duartina";33569,12;38389,99;38963,18;52121,04;51210,18;40881,00;34083,97;51036,64;43557,36;45886,94;45901,20;40098,04;36623,60;43999,02;44353,26;41925,75;54067,28;53856,31;47227,90;47979,55;39957,79;43234,59;30374,55;30724,13;35730,33;41739,48;46927,52;57833,31;54358,63;56037,17;52442,44;56252,61;45856,68;43072,41;49312,37;53471,59;43314,76;45159,50;51319,78;48578,77;42683,17;50890,51;42891,33;44585,84;47622,91;48364,26;53165,66;44467,90;42553,13;43503,30;46263,00;54778,00;61743,48;80680,56;87964,92;67364,02;59627,32;49268,78;40758,09;45626,71;48796,81;44288,94;43779,60;46382,27;42275,57;51929,47;56200,56;59253,46;59850,08;51348,91;30786,78;22959,83;27175,44;24871,45;28777,66;47611,61;47059,18;48668,53;45801,36;50455,48;43907,13;51569,70;25906,06;24627,39;26954,07;42576,13;43490,26;38238,82;43676,08;44197,01;28739,81;38529,10;45913,08;48677,05;36987,41;29558,31;34801,05;24973,27;39397,25;48063,70;45623,95;36730,25;32778,19;43606,59;50106,11;49330,51;24410,73;25494,87;15931,57;28553,31;53545,07;50313,51;53310,74;67938,91;41835,93;42527,38;40905,07;44935,74;42957,88;14137,15;39559,15;19675,07;35787,66;39164,16;38751,12;28109,80;39672,57;28212,48;44513,60;26548,54;30618,52;25823,16;38161,15;29549,15;33013,47;26469,69;47417,82;45058,52;38174,05;39155,70;41984,58;45458,12;35549,59;38473,44;34963,20;37622,65;52673,63;32228,62;33065,04;37577,89;48999,29;49848,31;40794,24;52725,78;47587,08;35002,61;54073,56;39646,04;73018,47;6834989,28
"351480 Eldorado";5216,32;4776,19;2946,82;6083,94;2138,01;4099,55;3119,68;4955,68;8383,06;4166,99;7047,86;7342,87;3695,67;8105,78;4469,58;7026,02;3345,57;5481,56;13731,46;4859,80;12529,53;9898,70;4314,07;7769,19;6410,85;2842,38;8994,83;11294,39;5433,51;3830,64;11945,62;7495,05;15667,35;3884,27;4041,73;-;-;1164,84;2808,87;4997,07;3860,76;2404,55;3143,32;443,40;848,14;582,42;-;-;-;44,22;1154,81;44,22;1369,34;2056,98;1546,80;2174,47;1679,13;562,60;942,40;204,50;2293,21;2262,96;581,00;3636,91;3907,16;3331,04;582,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;275972,06
"351500 Embu das Artes";102372,08;129684,76;161319,48;120586,95;145102,61;148360,15;125832,71;132293,17;127999,54;107439,53;113218,23;146946,34;132774,58;106879,33;118565,29;140982,51;118216,63;95550,85;111933,93;138542,80;123777,19;147088,43;111501,20;130001,86;120882,66;114328,78;116259,03;104358,07;116602,21;107416,51;129453,81;122423,97;130162,54;146048,74;111201,07;141440,86;141643,50;144469,32;148901,77;164948,53;153262,32;173966,92;180327,67;183661,10;161248,97;174179,04;158085,06;208443,92;157747,06;150393,51;184945,10;196078,14;180763,03;184821,64;191576,67;116832,01;126072,46;140717,64;168894,11;272453,97;134160,53;152349,10;173673,70;161780,08;183860,94;107635,80;185954,00;191166,17;190707,61;129975,21;139214,81;205749,78;147216,93;133730,20;166753,64;161388,80;163076,72;149360,54;169688,36;191046,67;180441,33;109527,52;166592,69;119613,78;158662,78;141376,23;136500,12;151028,62;131722,67;195933,79;182043,64;171948,31;159489,08;123856,08;127175,89;145411,40;157002,49;132903,73;119683,10;157125,39;140192,80;64780,80;85702,58;36227,94;45884,81;40243,53;93414,89;79740,85;87891,35;103312,44;118030,87;118817,37;97213,65;103922,83;113409,56;146672,73;136288,91;119073,94;97439,40;97684,10;140455,83;100321,65;122351,31;173095,05;142064,50;134696,79;122524,64;105918,03;116352,82;115997,14;99256,34;83770,47;117218,42;86593,08;136187,35;102012,91;102296,90;103372,69;112412,24;127646,23;110984,82;123253,47;107017,61;188305,75;157144,74;156117,70;115994,14;102465,67;171057,51;363898,29;531103,80;474665,22;513876,63;228595,38;153325,74;298258,53;521299,04;516539,18;488972,50;24361875,55
"351510 Embu-Guaçu";23657,65;20436,30;453,65;19956,75;17708,80;23889,49;20454,12;18063,88;20744,50;23452,18;15219,23;22192,13;16837,97;13724,86;12175,36;10995,94;17883,37;17037,27;14970,39;19304,59;14093,14;20614,50;13509,64;5361,64;23252,89;6884,87;16119,79;19561,66;13860,53;8604,25;16019,60;10928,09;15116,37;13862,47;17011,25;7278,83;11851,08;21448,50;6010,11;19076,12;18753,36;11874,06;12174,39;8824,27;18194,64;11113,92;13423,28;12464,16;4842,09;4998,44;1157,18;15095,07;9787,45;11275,75;16943,47;13705,97;10561,68;13876,45;7715,38;6825,50;8679,58;10282,23;10071,28;2498,75;6254,94;4911,88;8298,68;9740,69;7533,16;8684,09;13549,79;7660,55;11737,68;7895,34;14709,28;22665,19;17939,39;23976,40;16963,11;15460,19;13207,03;13616,70;10156,13;10410,53;7710,41;11238,49;14196,08;16422,55;18789,12;20034,79;26540,33;18359,34;20743,52;15865,39;13921,50;14242,69;20643,47;12026,32;15483,63;11211,90;14271,67;15331,34;16549,14;14565,10;15881,67;18733,19;5291,83;9098,98;8597,72;6261,88;5629,29;20291,49;10893,24;29573,83;18263,01;13855,79;21733,49;18062,13;22097,79;32028,86;38115,50;32615,18;40598,84;24668,22;33775,75;37942,29;33421,17;39264,72;33096,34;46818,26;40141,84;34028,72;29221,05;28637,37;31338,91;38576,17;37424,85;29484,30;32919,44;32691,97;23235,69;27485,05;27479,79;27276,19;16699,49;24687,48;34759,12;20821,06;58982,15;60958,63;58587,94;46277,79;41014,21;44665,48;38579,32;69279,13;74316,26;45389,33;93185,56;3233034,39
"351518 Espírito Santo do Pinhal";366738,00;413628,58;440769,61;418091,05;436333,48;443406,17;430533,59;410383,33;393529,40;409374,46;393448,42;418941,63;446274,69;376472,81;377825,17;440543,92;440994,20;436574,10;448669,63;450547,49;446099,61;438075,07;483188,25;463566,67;505202,24;497471,68;537997,77;492450,77;556883,91;499687,98;500755,65;498516,44;503891,11;521981,67;490356,21;506555,06;485297,96;465302,15;490604,34;491069,83;493623,06;451287,19;551536,84;518879,05;498077,77;491778,40;487231,61;494428,05;503922,05;464020,78;516773,59;468649,16;493984,73;497596,91;512327,09;529104,34;483769,70;503288,48;483581,37;455415,39;558626,16;456930,57;503297,50;487148,42;530851,51;488483,77;518815,51;503656,18;488255,51;514805,05;489343,53;522977,87;508545,77;458475,34;502148,90;501506,89;499806,54;491965,24;312608,18;690411,80;492665,44;509083,89;496329,50;545269,93;506297,14;464436,50;504061,80;482750,33;505523,19;503944,89;523702,00;493894,81;499485,79;515206,06;494855,99;514037,61;517586,03;517188,02;521628,79;511672,29;509387,09;467840,84;499156,55;495100,21;460537,33;469783,01;443261,57;456725,97;385389,60;405816,13;461775,93;467727,97;485807,82;476674,75;472269,95;482918,98;452936,77;446073,34;440543,10;470929,81;426110,30;416571,19;516466,69;529788,44;542497,57;524771,30;542917,76;543645,89;555076,65;552474,44;546498,39;525601,23;543713,48;472560,08;524856,39;526928,58;546058,47;507965,32;439389,27;603115,41;516828,65;531128,14;531213,36;504363,88;486750,21;508129,72;496759,92;337069,61;363798,70;368698,86;400716,85;589110,24;684551,00;756403,57;609764,70;692827,72;820146,00;424401,51;809469,45;78385385,56
"351520 Estrela d'Oeste";17735,94;15776,48;23254,22;28724,20;23094,47;22194,14;31273,50;30820,16;26764,77;23479,14;18773,54;21812,88;21902,46;27317,26;24366,79;24153,33;29591,85;31457,34;31294,86;27099,40;21435,39;22726,69;23867,45;26045,28;16263,14;21937,47;28013,15;24134,21;24212,29;19039,66;21159,75;22923,14;25974,61;18313,38;29119,17;17120,41;24616,36;18988,89;20817,65;17782,46;26438,71;21937,03;19600,12;17130,43;18249,05;24467,41;19484,12;25274,93;25743,09;11372,84;21194,98;21938,57;23038,10;24198,44;16682,86;15512,17;13699,51;568,57;21436,30;9269,11;1411,70;5423,22;4910,06;4253,67;14897,99;5781,44;7450,47;6170,90;4787,38;5742,62;8132,54;4930,63;13293,52;6999,81;5772,63;6975,24;11173,44;10862,52;6948,14;10803,09;11914,65;5960,40;8646,25;10385,12;8748,54;13423,43;11404,79;6947,36;8853,26;9285,29;7144,42;8017,07;9716,52;4560,69;5122,68;10948,43;4841,35;4381,13;7400,90;6328,75;6276,90;8315,41;10594,48;8107,22;5476,47;5055,32;4310,47;7445,41;5071,42;15825,66;9906,03;12358,25;13644,75;17683,64;19060,94;14677,74;14202,04;16380,19;8791,92;12409,82;13412,33;17991,85;7725,15;7822,22;16258,50;14145,02;11831,80;11187,38;12899,30;10234,56;11170,20;13356,88;4178,75;17095,56;21304,77;19218,29;12052,25;20089,12;17836,13;17087,72;21275,20;14183,47;24086,21;20560,86;22111,45;30002,22;22901,68;8278,21;11275,27;4680,28;8803,80;2581,24;3430,03;5462,69;7374,69;5731,31;4855,71;5296,93;5291,96;2354040,73
"351540 Fartura";15496,70;26459,12;38158,40;28339,91;27976,58;27495,28;838,06;37459,51;37403,83;32989,45;15646,42;32427,13;22811,31;40041,47;44344,83;44072,64;46023,86;35367,31;38057,01;32129,45;31137,65;34324,58;38830,21;31267,47;31716,49;30756,62;31123,50;39107,20;33042,96;36192,17;35837,47;35196,48;33891,91;30220,66;25662,17;28515,51;20324,32;40283,45;31171,46;30935,77;28211,42;26232,54;23916,10;29807,54;33277,24;29662,78;26160,37;29518,60;23357,55;24360,12;15922,94;20875,92;22978,24;27442,34;34901,86;31629,26;29824,20;30971,91;30333,98;20631,36;29684,67;22308,19;31543,02;25910,23;31015,81;35302,64;32454,25;23826,82;39287,99;36155,78;26960,64;29387,59;836,82;22252,89;23574,90;48479,71;29041,19;32775,27;27697,04;20770,52;29482,90;26396,05;26508,64;25630,98;25872,27;25853,95;33240,52;34833,85;36158,01;21744,99;39588,76;28820,87;33353,23;34147,19;31914,98;40415,99;31722,22;28510,98;31607,11;34547,52;29088,12;30436,14;30884,36;26719,96;30310,60;31019,27;21031,17;31015,44;19856,39;31266,21;35604,89;29840,00;37351,01;29763,99;34353,53;39421,14;37128,14;30659,08;28079,57;30801,01;33501,39;21424,13;28085,48;30880,92;34917,89;34630,87;30137,15;34693,37;31720,99;30182,67;21450,36;21463,39;22284,20;24820,71;29383,59;29318,06;36209,09;24553,86;36290,62;19108,37;28053,94;23779,13;26433,05;22243,40;26651,74;26582,46;19461,54;14815,42;26073,02;26389,78;25170,29;25957,70;23367,06;33139,23;26172,86;46212,90;49507,88;29251,14;-;4691659,24
"351550 Fernandópolis";91582,09;469454,41;331503,71;273858,91;229615,55;530373,86;422191,08;367716,58;420942,15;357957,37;384259,31;392772,26;277881,89;473307,87;456578,64;484984,30;451668,64;535091,15;475150,68;474206,37;432556,76;458753,21;471641,13;448466,35;384379,28;399982,11;509340,47;473307,38;511023,26;454154,72;502079,95;448889,31;466304,19;456732,64;398427,78;419532,55;452300,35;438083,81;537640,99;456903,68;446066,28;411168,94;482429,59;341305,84;346832,72;537255,84;458586,24;510387,31;366361,02;397370,20;355933,92;320149,53;606030,31;588850,95;464379,84;500835,62;486680,22;514938,78;435460,43;298850,23;416480,57;419973,72;326837,24;533518,02;425705,60;478630,37;439992,83;469338,47;392711,04;432833,89;374370,86;280884,52;432854,39;455050,82;383910,06;260682,53;532597,80;408360,28;467743,88;516300,31;489791,99;445597,75;471037,20;469471,14;526114,04;509935,30;508550,04;497114,84;400303,09;583272,35;568889,52;431220,85;531333,36;548961,49;497450,90;310770,01;350373,85;343786,64;368758,03;329877,58;291287,02;361725,45;381452,44;529614,38;441464,15;387779,84;332071,62;352385,94;361881,75;323517,53;384859,07;354057,29;444225,40;383005,28;459593,62;369944,22;458164,09;423937,19;422037,01;380857,66;348438,93;336639,43;357042,74;373292,99;442788,43;380345,29;420413,96;426018,25;363537,61;404612,42;307616,08;320315,63;349595,05;310278,48;347687,97;472022,69;425325,59;411975,70;377804,48;370018,88;345805,89;391962,79;372718,69;270475,03;247847,55;365857,08;351344,06;268800,35;350189,66;332555,89;525391,71;311788,98;822494,49;590521,60;433101,66;636311,66;1145530,88;588255,42;1075099,17;68338541,83
"351570 Ferraz de Vasconcelos";15112,96;115100,87;299257,50;425881,34;529698,02;503208,24;687896,55;672326,86;746808,84;837892,38;217638,56;226118,90;67639,62;90689,28;508897,54;273782,56;462865,55;427227,18;373693,60;253286,74;212532,21;373761,12;296509,50;245862,55;109884,78;155246,74;335246,18;484548,92;445226,12;614089,56;641726,13;418028,77;613739,44;554736,56;797540,40;626298,23;657283,71;608221,17;636718,03;718425,15;722874,29;386518,53;545271,20;494432,63;475461,56;446192,25;861568,33;357610,38;431971,79;327494,55;480199,25;394743,64;826776,52;-;649392,84;626172,49;673784,91;561006,57;588227,50;432343,84;164050,00;291438,37;385753,72;316328,39;348493,20;257565,08;298101,04;554516,78;502032,48;339923,44;460560,27;314833,65;389430,26;260955,77;314252,43;186607,95;354878,06;185730,20;235165,54;416400,63;354332,83;365203,56;169014,47;252543,89;223197,90;249024,14;388523,63;422191,50;397116,02;455721,60;279718,81;390963,38;378322,69;247102,56;345662,24;211187,48;348765,12;306468,22;277262,89;357567,56;355562,21;481278,09;432509,07;333420,75;413134,57;267618,01;362776,17;324043,07;407836,10;385065,42;454995,10;597843,05;576866,16;372784,70;412243,84;611048,97;381979,12;458927,81;446337,17;417871,58;622132,07;415398,42;320104,36;673880,78;654749,49;587700,36;398975,12;453430,12;606304,67;528938,25;532964,46;335763,94;553386,18;405825,72;496565,84;606122,42;567194,46;152463,07;768057,15;660858,92;638563,71;545745,81;557611,43;528206,82;648249,53;534370,77;619058,10;340574,44;494063,90;741025,95;581826,11;793810,13;519664,92;537873,14;478602,81;532280,56;470767,78;627740,10;1424393,84;71008985,79
"351600 Flórida Paulista";19668,01;21661,88;22158,68;24677,28;25017,58;26400,35;22655,52;21069,81;17439,35;22350,55;23276,33;17185,85;17739,30;25950,90;26459,63;25525,41;28178,75;17500,63;20948,34;19758,43;22454,33;22699,07;22829,31;22867,69;23185,63;23468,95;24873,95;24105,35;28400,36;41584,60;29222,80;37015,88;36424,21;35200,58;31869,38;26726,60;32611,69;29456,96;33192,50;25044,89;30640,54;25546,75;25625,68;24416,50;28899,99;30079,73;18486,45;23878,03;26036,88;29385,94;31303,81;27808,64;30945,09;32184,42;31326,17;29510,10;25696,10;22391,69;16556,03;22744,31;29546,94;24253,89;29890,00;28199,95;22414,28;27326,25;34431,12;21654,95;25217,68;24643,94;20229,73;23629,19;23087,44;26043,85;29606,43;27468,88;37895,00;30033,48;29590,38;30882,75;30844,68;29870,51;25521,04;19194,26;33984,03;31104,08;30878,34;35607,76;30616,51;27749,61;30114,72;27698,47;27157,23;26746,29;26313,44;27304,17;27687,51;23466,13;34767,87;31006,47;35074,54;35070,00;27173,46;31401,80;32751,70;24469,67;23567,90;25802,86;29300,75;25886,06;27179,77;30536,90;29226,27;31592,45;33436,89;32374,53;32574,37;31137,40;24721,64;30033,81;27457,48;28160,35;28630,06;29566,80;32300,78;27687,43;29310,63;29008,91;29270,84;29406,16;28136,69;25797,23;28648,14;27481,58;31909,22;28241,93;35077,67;31619,27;27819,66;31440,74;23768,81;26360,10;23018,35;27332,63;23867,24;28600,45;23562,66;9672,97;8702,97;9232,67;18461,53;16200,80;13192,09;13768,60;11507,38;12563,09;11246,92;15805,78;46820,18;4219968,97
"351620 Franca";1217877,58;1907635,77;1171343,29;2164744,92;2258154,95;1919034,23;1709813,29;1814067,66;2024642,29;2141336,46;1616107,93;2049652,19;2011855,61;1929083,85;1778152,67;2406388,74;2384606,97;2272586,56;2287130,39;2652518,91;2072758,83;2545154,55;2272530,26;2010577,28;1978307,85;2091362,01;2413818,16;2161009,03;2314860,44;2090015,62;2195550,79;2407413,49;2475176,54;2390836,06;2379893,49;2264643,23;2326272,29;2430419,23;2372703,80;2489224,86;2799776,44;2013801,22;2431641,96;2247618,96;2182087,13;2074357,13;2101636,03;2013078,65;2394138,81;2233116,52;2606974,24;2236123,21;2602818,47;2390253,35;2312234,50;1847598,39;2912667,32;2466087,55;2396202,61;2295963,33;2149935,48;2134809,28;2326632,71;2422555,52;2363754,11;2834579,75;2584637,01;2686538,61;2731281,71;2853257,96;2487471,62;2843670,52;2595025,70;2257988,76;2909191,85;2596317,65;2897200,85;2525376,01;3373584,01;2639373,41;2672562,66;3328824,49;2625382,00;3007555,92;2788332,15;2378530,79;2814410,85;3069098,81;2910701,89;3101297,99;2962660,94;2451292,31;3341551,27;2540888,80;2557459,30;2950745,72;2749818,57;2819057,67;3128468,22;3508091,54;3141428,06;3225308,58;2605093,49;3409013,00;2527217,70;3278190,98;2803495,56;3326326,47;3069763,55;3373515,47;3577763,29;3022599,83;3332249,68;2965663,50;3387782,48;3053993,62;3426592,74;3466682,94;3127597,20;3022351,43;3209656,49;3015852,98;3480867,26;3314422,57;3152516,16;3252098,00;3970460,54;3169890,06;3437695,41;3637326,24;3131123,87;3239883,59;3772161,00;3158980,03;3325741,30;3501534,60;4090562,07;3394521,88;3672663,32;3493939,08;3346439,59;3761802,82;3008490,92;3441653,22;3195100,20;3235557,92;3370385,54;2779435,10;2898805,84;3334633,34;3368663,47;2956127,97;4718892,72;3856595,17;3861390,11;3883500,48;3939570,41;3534794,48;3463801,32;439397518,94
"351630 Francisco Morato";142582,33;372125,23;965287,31;602238,66;511976,23;490395,27;589417,27;478222,76;617603,03;587382,73;474479,89;515463,53;641957,71;479617,44;625797,18;298631,66;749357,00;659609,60;808636,53;725106,17;656568,33;368401,48;470190,01;525668,85;558331,45;414770,84;589521,84;545997,16;496899,32;570979,95;596593,83;576120,50;487310,64;519779,56;573955,82;616406,65;478553,31;574889,38;551519,64;428553,78;719785,14;340781,17;601635,60;352940,62;480112,23;549327,31;688724,70;633201,58;422541,56;284012,14;929562,85;522584,55;534151,64;537254,32;855600,68;432005,65;481111,71;727902,64;596038,11;589802,39;732941,83;451297,48;489172,49;586688,38;588051,92;598456,16;654686,73;545110,21;629816,15;597276,38;564755,57;627680,21;709436,24;320638,55;562444,97;609927,27;578917,92;474410,24;678511,58;545233,15;507107,16;462037,52;819076,52;340483,25;495732,96;592102,19;452721,88;626919,67;479297,67;400773,08;495059,19;331707,50;632205,96;491022,13;652609,97;689125,91;672629,33;411236,01;383135,94;458596,48;330505,42;501239,23;541317,54;784545,96;375449,72;615130,73;399523,38;290272,31;606056,19;421036,16;473524,89;665626,36;626248,49;472354,74;676593,58;700082,22;574792,10;528650,47;629508,46;619010,55;339460,02;340475,53;534252,27;293832,92;747002,78;451745,53;869708,97;637077,31;399439,48;733047,86;510695,43;459821,64;631812,89;664473,81;437977,58;444620,59;702360,02;482589,43;480802,13;422465,69;557820,66;320163,88;665925,12;578845,04;480142,94;429845,61;617826,20;596909,27;639827,91;680228,14;910257,09;1000422,16;783680,09;768276,62;801534,90;851644,74;903704,32;777146,00;991002,10;89925343,38
